Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 4221, episodes: 10, mean episode reward: -103.37248093697094, time: 37.466
steps: 7769, episodes: 20, mean episode reward: -103.5234952872544, time: 33.514
steps: 11210, episodes: 30, mean episode reward: -104.50461655780785, time: 34.332
steps: 15140, episodes: 40, mean episode reward: -104.1145115499102, time: 36.366
steps: 18471, episodes: 50, mean episode reward: -104.1795473869375, time: 34.249
steps: 22686, episodes: 60, mean episode reward: -102.3727816297015, time: 39.738
steps: 26907, episodes: 70, mean episode reward: -103.21194040997496, time: 38.266
steps: 31490, episodes: 80, mean episode reward: -102.90985582775848, time: 40.625
steps: 35719, episodes: 90, mean episode reward: -103.62838525037645, time: 39.804
steps: 39879, episodes: 100, mean episode reward: -104.10250697900543, time: 37.903
steps: 44156, episodes: 110, mean episode reward: -103.49930922560995, time: 39.099
steps: 48760, episodes: 120, mean episode reward: -102.28169032703882, time: 41.586
steps: 53451, episodes: 130, mean episode reward: -102.40505671300909, time: 43.028
steps: 57347, episodes: 140, mean episode reward: -104.25229370161848, time: 36.741
steps: 61653, episodes: 150, mean episode reward: -103.77783710361628, time: 38.907
steps: 66243, episodes: 160, mean episode reward: -104.29946598611568, time: 43.829
steps: 70463, episodes: 170, mean episode reward: -102.79154422567883, time: 38.327
steps: 73987, episodes: 180, mean episode reward: -105.4227997404128, time: 34.537
steps: 78587, episodes: 190, mean episode reward: -102.73393472097571, time: 40.907
steps: 82859, episodes: 200, mean episode reward: -102.50205872860991, time: 38.997
steps: 86661, episodes: 210, mean episode reward: -102.96868873461054, time: 36.265
steps: 90850, episodes: 220, mean episode reward: -102.79665377972852, time: 39.044
steps: 94331, episodes: 230, mean episode reward: -103.8684743369068, time: 33.548
steps: 98991, episodes: 240, mean episode reward: -103.12642474286542, time: 41.769
steps: 102789, episodes: 250, mean episode reward: -102.49121975101289, time: 36.874
steps: 106602, episodes: 260, mean episode reward: -105.85863592935144, time: 34.633
steps: 111215, episodes: 270, mean episode reward: -104.2507510856298, time: 39.554
steps: 115625, episodes: 280, mean episode reward: -103.42737110191317, time: 39.703
steps: 119223, episodes: 290, mean episode reward: -103.68081374503056, time: 35.772
steps: 123850, episodes: 300, mean episode reward: -104.71513452719319, time: 40.234
steps: 128552, episodes: 310, mean episode reward: -103.94896155299212, time: 43.315
steps: 133552, episodes: 320, mean episode reward: -103.69046297617285, time: 43.177
steps: 138552, episodes: 330, mean episode reward: -102.12213634035167, time: 45.879
steps: 142864, episodes: 340, mean episode reward: -102.70495761400775, time: 40.167
steps: 146729, episodes: 350, mean episode reward: -103.69868756126068, time: 35.26
steps: 150198, episodes: 360, mean episode reward: -104.17357610755707, time: 34.789
steps: 154354, episodes: 370, mean episode reward: -104.8382302273732, time: 37.065
steps: 158200, episodes: 380, mean episode reward: -103.38191464690485, time: 38.159
steps: 162857, episodes: 390, mean episode reward: -104.55893750374162, time: 41.887
steps: 167073, episodes: 400, mean episode reward: -103.7758860404596, time: 39.854
steps: 171826, episodes: 410, mean episode reward: -103.59431721527956, time: 43.875
steps: 176826, episodes: 420, mean episode reward: -104.52474830480928, time: 44.194
steps: 181020, episodes: 430, mean episode reward: -103.3055839985966, time: 39.554
steps: 185649, episodes: 440, mean episode reward: -103.67888333732908, time: 40.86
steps: 190241, episodes: 450, mean episode reward: -104.51218294850301, time: 39.505
steps: 194849, episodes: 460, mean episode reward: -103.70443355419029, time: 42.43
steps: 198669, episodes: 470, mean episode reward: -103.629844427427, time: 37.666
steps: 202543, episodes: 480, mean episode reward: -102.93054156860417, time: 37.38
steps: 206829, episodes: 490, mean episode reward: -104.29102837690132, time: 39.052
steps: 211459, episodes: 500, mean episode reward: -102.3657292925864, time: 41.038
steps: 216074, episodes: 510, mean episode reward: -103.94486267221703, time: 40.152
steps: 219888, episodes: 520, mean episode reward: -102.20641001127991, time: 38.067
steps: 224482, episodes: 530, mean episode reward: -103.42226661751442, time: 42.01
steps: 228489, episodes: 540, mean episode reward: -103.74598700019575, time: 37.544
steps: 233175, episodes: 550, mean episode reward: -103.75534148858121, time: 43.408
steps: 237504, episodes: 560, mean episode reward: -104.28259067358908, time: 39.804
steps: 242273, episodes: 570, mean episode reward: -103.32846412171607, time: 41.688
steps: 246898, episodes: 580, mean episode reward: -103.82622662441784, time: 41.302
steps: 250925, episodes: 590, mean episode reward: -103.90994634720786, time: 38.198
steps: 255550, episodes: 600, mean episode reward: -104.5429008344091, time: 40.803
steps: 260154, episodes: 610, mean episode reward: -102.65468576248706, time: 42.436
steps: 264081, episodes: 620, mean episode reward: -103.68582973741897, time: 35.326
steps: 269035, episodes: 630, mean episode reward: -103.22313835485599, time: 43.673
steps: 272528, episodes: 640, mean episode reward: -104.24408837515625, time: 33.589
steps: 276401, episodes: 650, mean episode reward: -104.06053450359147, time: 35.976
steps: 281016, episodes: 660, mean episode reward: -103.55121426628618, time: 39.995
steps: 284890, episodes: 670, mean episode reward: -106.05262185233441, time: 35.797
steps: 288781, episodes: 680, mean episode reward: -103.81088115225137, time: 37.321
steps: 293368, episodes: 690, mean episode reward: -101.85268836050653, time: 40.784
steps: 298116, episodes: 700, mean episode reward: -104.09658611526993, time: 40.726
steps: 302332, episodes: 710, mean episode reward: -104.04151036601142, time: 39.28
steps: 306566, episodes: 720, mean episode reward: -104.32055096018021, time: 37.934
steps: 310607, episodes: 730, mean episode reward: -104.07401695656445, time: 39.026
steps: 315356, episodes: 740, mean episode reward: -102.2484251699502, time: 43.781
steps: 320028, episodes: 750, mean episode reward: -103.20841315089237, time: 43.081
steps: 323912, episodes: 760, mean episode reward: -104.42776584611424, time: 36.59
steps: 328088, episodes: 770, mean episode reward: -102.90207878412498, time: 38.637
steps: 332463, episodes: 780, mean episode reward: -104.37275450545549, time: 40.546
