Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 5000, episodes: 10, mean episode reward: 30.070421874981285, time: 412.474
steps: 10000, episodes: 20, mean episode reward: 31.48279687498652, time: 412.159
steps: 15000, episodes: 30, mean episode reward: 31.355562499982813, time: 411.974
steps: 20000, episodes: 40, mean episode reward: 30.564812499982132, time: 413.054
steps: 25000, episodes: 50, mean episode reward: 30.739984374982026, time: 413.285
steps: 30000, episodes: 60, mean episode reward: 31.23362499998471, time: 413.53
steps: 35000, episodes: 70, mean episode reward: 31.239624999983317, time: 412.488
steps: 40000, episodes: 80, mean episode reward: 30.95378124998158, time: 413.521
steps: 45000, episodes: 90, mean episode reward: 31.805374999983805, time: 412.804
steps: 50000, episodes: 100, mean episode reward: 31.114234374983347, time: 410.977
steps: 55000, episodes: 110, mean episode reward: 31.023031249982644, time: 410.365
steps: 60000, episodes: 120, mean episode reward: 30.69993749998208, time: 410.841
steps: 65000, episodes: 130, mean episode reward: 31.588640624985413, time: 410.587
steps: 70000, episodes: 140, mean episode reward: 30.899234374982143, time: 410.766
steps: 75000, episodes: 150, mean episode reward: 30.93115624998315, time: 410.691
steps: 80000, episodes: 160, mean episode reward: 31.840593749988706, time: 411.437
steps: 85000, episodes: 170, mean episode reward: 31.378187499984723, time: 410.534
steps: 90000, episodes: 180, mean episode reward: 30.81548437498306, time: 410.968
steps: 95000, episodes: 190, mean episode reward: 31.22854687498501, time: 411.083
steps: 100000, episodes: 200, mean episode reward: 31.19804687498322, time: 410.936
steps: 105000, episodes: 210, mean episode reward: 30.532171874981238, time: 410.832
steps: 110000, episodes: 220, mean episode reward: 31.54101562498431, time: 411.015
steps: 115000, episodes: 230, mean episode reward: 30.971015624982073, time: 410.854
steps: 120000, episodes: 240, mean episode reward: 31.260281249983528, time: 411.053
steps: 125000, episodes: 250, mean episode reward: 30.902078124981422, time: 411.784
steps: 130000, episodes: 260, mean episode reward: 31.466390624986182, time: 411.77
steps: 135000, episodes: 270, mean episode reward: 31.10678124998385, time: 410.938
steps: 140000, episodes: 280, mean episode reward: 30.521609374982738, time: 411.325
steps: 145000, episodes: 290, mean episode reward: 31.228109374984047, time: 411.275
steps: 150000, episodes: 300, mean episode reward: 32.10610937498778, time: 411.558
steps: 155000, episodes: 310, mean episode reward: 31.262062499986076, time: 411.895
steps: 160000, episodes: 320, mean episode reward: 30.966328124984273, time: 411.13
steps: 165000, episodes: 330, mean episode reward: 30.810593749982313, time: 411.507
steps: 170000, episodes: 340, mean episode reward: 31.351437499984662, time: 411.295
steps: 175000, episodes: 350, mean episode reward: 31.42743749998209, time: 411.344
steps: 180000, episodes: 360, mean episode reward: 30.82587499998167, time: 411.739
steps: 185000, episodes: 370, mean episode reward: 31.482343749986967, time: 412.252
steps: 190000, episodes: 380, mean episode reward: 31.61507812498428, time: 411.247
steps: 195000, episodes: 390, mean episode reward: 31.93595312498661, time: 411.471
steps: 200000, episodes: 400, mean episode reward: 31.400031249983147, time: 411.721
steps: 205000, episodes: 410, mean episode reward: 31.009343749984698, time: 411.681
steps: 210000, episodes: 420, mean episode reward: 31.510234374986048, time: 411.664
steps: 215000, episodes: 430, mean episode reward: 30.90599999998409, time: 412.074
steps: 220000, episodes: 440, mean episode reward: 31.01042187498507, time: 411.066
steps: 225000, episodes: 450, mean episode reward: 32.424124999988706, time: 410.589
steps: 230000, episodes: 460, mean episode reward: 31.429046874984436, time: 411.444
steps: 235000, episodes: 470, mean episode reward: 30.98768749998242, time: 411.862
steps: 240000, episodes: 480, mean episode reward: 30.983187499982865, time: 411.579
steps: 245000, episodes: 490, mean episode reward: 31.170171874984504, time: 411.269
steps: 250000, episodes: 500, mean episode reward: 31.64406249998616, time: 411.991
steps: 255000, episodes: 510, mean episode reward: 30.814046874983877, time: 411.786
steps: 260000, episodes: 520, mean episode reward: 31.741734374984663, time: 411.309
steps: 265000, episodes: 530, mean episode reward: 31.31848437498254, time: 411.877
steps: 270000, episodes: 540, mean episode reward: 30.462859374982344, time: 412.024
steps: 275000, episodes: 550, mean episode reward: 31.92892187498571, time: 411.745
steps: 280000, episodes: 560, mean episode reward: 31.272437499983898, time: 411.734
steps: 285000, episodes: 570, mean episode reward: 30.9958906249814, time: 411.162
steps: 290000, episodes: 580, mean episode reward: 31.4574062499847, time: 411.948
steps: 295000, episodes: 590, mean episode reward: 31.112890624982306, time: 411.587
steps: 300000, episodes: 600, mean episode reward: 31.654703124985275, time: 411.702
steps: 305000, episodes: 610, mean episode reward: 31.539484374985193, time: 411.936
steps: 310000, episodes: 620, mean episode reward: 31.61065624998501, time: 411.153
steps: 315000, episodes: 630, mean episode reward: 31.49951562498682, time: 412.055
steps: 320000, episodes: 640, mean episode reward: 31.320359374986236, time: 411.88
steps: 325000, episodes: 650, mean episode reward: 31.293578124985014, time: 403.392
steps: 330000, episodes: 660, mean episode reward: 30.09009374998203, time: 403.243
steps: 335000, episodes: 670, mean episode reward: 31.22384374998318, time: 402.568
steps: 340000, episodes: 680, mean episode reward: 31.7132187499867, time: 402.153
steps: 345000, episodes: 690, mean episode reward: 31.513874999984985, time: 403.193
steps: 350000, episodes: 700, mean episode reward: 31.565906249984852, time: 403.328
steps: 355000, episodes: 710, mean episode reward: 31.399718749985464, time: 402.858
steps: 360000, episodes: 720, mean episode reward: 31.713984374988115, time: 401.98
steps: 365000, episodes: 730, mean episode reward: 31.230656249981728, time: 403.863
steps: 370000, episodes: 740, mean episode reward: 31.26978124998298, time: 403.733
steps: 375000, episodes: 750, mean episode reward: 31.573140624984603, time: 402.548
steps: 380000, episodes: 760, mean episode reward: 31.685703124985945, time: 403.309
steps: 385000, episodes: 770, mean episode reward: 31.32907812498498, time: 403.342
steps: 390000, episodes: 780, mean episode reward: 31.144156249982398, time: 402.799
steps: 395000, episodes: 790, mean episode reward: 31.853218749986166, time: 402.694
steps: 400000, episodes: 800, mean episode reward: 30.268359374981248, time: 403.467
steps: 405000, episodes: 810, mean episode reward: 30.624343749981808, time: 403.993
steps: 410000, episodes: 820, mean episode reward: 30.560296874983408, time: 403.399
steps: 415000, episodes: 830, mean episode reward: 31.953359374985958, time: 402.608
steps: 420000, episodes: 840, mean episode reward: 31.0690468749832, time: 402.807
steps: 425000, episodes: 850, mean episode reward: 30.99592187498349, time: 403.249
steps: 430000, episodes: 860, mean episode reward: 30.917453124982167, time: 403.214
steps: 435000, episodes: 870, mean episode reward: 31.500156249986105, time: 403.065
steps: 440000, episodes: 880, mean episode reward: 31.29143749998486, time: 402.234
steps: 445000, episodes: 890, mean episode reward: 31.346156249984226, time: 402.22
steps: 450000, episodes: 900, mean episode reward: 32.39240624998985, time: 403.366
steps: 455000, episodes: 910, mean episode reward: 31.4495937499871, time: 402.772
steps: 460000, episodes: 920, mean episode reward: 30.707187499984705, time: 403.108
steps: 465000, episodes: 930, mean episode reward: 31.27440624998406, time: 402.443
...Finished total of 938 episodes.
