Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 5000, episodes: 10, mean episode reward: -6.537096683722669, time: 280.337
steps: 10000, episodes: 20, mean episode reward: -6.698211241596232, time: 280.13
steps: 15000, episodes: 30, mean episode reward: -6.312115368043525, time: 280.71
steps: 20000, episodes: 40, mean episode reward: -6.381529781602085, time: 281.145
steps: 25000, episodes: 50, mean episode reward: -7.039635848375623, time: 280.908
steps: 30000, episodes: 60, mean episode reward: -6.845499316987196, time: 281.607
steps: 35000, episodes: 70, mean episode reward: -7.196798552081312, time: 281.369
steps: 40000, episodes: 80, mean episode reward: -6.7439387965423645, time: 281.249
steps: 45000, episodes: 90, mean episode reward: -6.942624394124351, time: 281.17
steps: 50000, episodes: 100, mean episode reward: -6.72839801812885, time: 281.632
steps: 55000, episodes: 110, mean episode reward: -7.004857323748114, time: 281.162
steps: 60000, episodes: 120, mean episode reward: -6.7759726204544295, time: 281.304
steps: 65000, episodes: 130, mean episode reward: -6.195235564670564, time: 282.04
steps: 70000, episodes: 140, mean episode reward: -6.535201880023207, time: 281.354
steps: 75000, episodes: 150, mean episode reward: -6.294009010694603, time: 279.846
steps: 80000, episodes: 160, mean episode reward: -6.491080664130033, time: 280.518
steps: 85000, episodes: 170, mean episode reward: -6.02298354688419, time: 280.777
steps: 90000, episodes: 180, mean episode reward: -6.8638470379742795, time: 280.644
steps: 95000, episodes: 190, mean episode reward: -6.578766393808436, time: 280.384
steps: 100000, episodes: 200, mean episode reward: -6.640383457874445, time: 280.526
steps: 105000, episodes: 210, mean episode reward: -6.115417173418199, time: 280.405
steps: 110000, episodes: 220, mean episode reward: -5.808416314536415, time: 280.79
steps: 115000, episodes: 230, mean episode reward: -6.368872319846813, time: 280.719
steps: 120000, episodes: 240, mean episode reward: -7.004490810784489, time: 280.236
steps: 125000, episodes: 250, mean episode reward: -6.040913944323759, time: 280.895
steps: 130000, episodes: 260, mean episode reward: -6.292753967322175, time: 281.119
steps: 135000, episodes: 270, mean episode reward: -6.772736183600559, time: 280.676
steps: 140000, episodes: 280, mean episode reward: -7.1421126458821105, time: 281.145
steps: 145000, episodes: 290, mean episode reward: -6.568489494870033, time: 280.358
steps: 150000, episodes: 300, mean episode reward: -6.402015707104672, time: 280.703
steps: 155000, episodes: 310, mean episode reward: -7.381386817902725, time: 281.15
steps: 160000, episodes: 320, mean episode reward: -7.157475572881881, time: 280.97
steps: 165000, episodes: 330, mean episode reward: -6.544617850691959, time: 280.68
steps: 170000, episodes: 340, mean episode reward: -6.591657731204171, time: 280.967
steps: 175000, episodes: 350, mean episode reward: -6.6721646886665695, time: 280.732
steps: 180000, episodes: 360, mean episode reward: -6.929502388503788, time: 280.613
steps: 185000, episodes: 370, mean episode reward: -6.679877630887177, time: 281.247
steps: 190000, episodes: 380, mean episode reward: -6.567272873739254, time: 280.734
steps: 195000, episodes: 390, mean episode reward: -6.995779463942154, time: 281.198
steps: 200000, episodes: 400, mean episode reward: -6.522961654578786, time: 281.073
steps: 205000, episodes: 410, mean episode reward: -6.354282772198024, time: 280.945
