steps,episode,reward,time
4221,640,-103.37248093697094,37.466
7769,1280,-103.5234952872544,33.514
11210,1920,-104.50461655780785,34.332
15140,2560,-104.1145115499102,36.366
18471,3200,-104.1795473869375,34.249
22686,3840,-102.3727816297015,39.738
26907,4480,-103.21194040997496,38.266
31490,5120,-102.90985582775848,40.625
35719,5760,-103.62838525037645,39.804
39879,6400,-104.10250697900543,37.903
44156,7040,-103.49930922560995,39.099
48760,7680,-102.28169032703882,41.586
53451,8320,-102.40505671300909,43.028
57347,8960,-104.25229370161848,36.741
61653,9600,-103.77783710361628,38.907
66243,10240,-104.29946598611568,43.829
70463,10880,-102.79154422567883,38.327
73987,11520,-105.4227997404128,34.537
78587,12160,-102.73393472097571,40.907
82859,12800,-102.50205872860991,38.997
86661,13440,-102.96868873461054,36.265
90850,14080,-102.79665377972852,39.044
94331,14720,-103.8684743369068,33.548
98991,15360,-103.12642474286542,41.769
102789,16000,-102.49121975101289,36.874
106602,16640,-105.85863592935144,34.633
111215,17280,-104.2507510856298,39.554
115625,17920,-103.42737110191317,39.703
119223,18560,-103.68081374503056,35.772
123850,19200,-104.71513452719319,40.234
128552,19840,-103.94896155299212,43.315
133552,20480,-103.69046297617285,43.177
138552,21120,-102.12213634035167,45.879
142864,21760,-102.70495761400775,40.167
146729,22400,-103.69868756126068,35.26
150198,23040,-104.17357610755707,34.789
154354,23680,-104.8382302273732,37.065
158200,24320,-103.38191464690485,38.159
162857,24960,-104.55893750374162,41.887
167073,25600,-103.7758860404596,39.854
171826,26240,-103.59431721527956,43.875
176826,26880,-104.52474830480928,44.194
181020,27520,-103.3055839985966,39.554
185649,28160,-103.67888333732908,40.86
190241,28800,-104.51218294850301,39.505
194849,29440,-103.70443355419029,42.43
198669,30080,-103.629844427427,37.666
202543,30720,-102.93054156860417,37.38
206829,31360,-104.29102837690132,39.052
211459,32000,-102.3657292925864,41.038
216074,32640,-103.94486267221703,40.152
219888,33280,-102.20641001127991,38.067
224482,33920,-103.42226661751442,42.01
228489,34560,-103.74598700019575,37.544
233175,35200,-103.75534148858121,43.408
237504,35840,-104.28259067358908,39.804
242273,36480,-103.32846412171607,41.688
246898,37120,-103.82622662441784,41.302
250925,37760,-103.90994634720786,38.198
255550,38400,-104.5429008344091,40.803
260154,39040,-102.65468576248706,42.436
264081,39680,-103.68582973741897,35.326
269035,40320,-103.22313835485599,43.673
272528,40960,-104.24408837515625,33.589
276401,41600,-104.06053450359147,35.976
281016,42240,-103.55121426628618,39.995
284890,42880,-106.05262185233441,35.797
288781,43520,-103.81088115225137,37.321
293368,44160,-101.85268836050653,40.784
298116,44800,-104.09658611526993,40.726
302332,45440,-104.04151036601142,39.28
306566,46080,-104.32055096018021,37.934
310607,46720,-104.07401695656445,39.026
315356,47360,-102.2484251699502,43.781
320028,48000,-103.20841315089237,43.081
323912,48640,-104.42776584611424,36.59
328088,49280,-102.90207878412498,38.637
332463,49920,-104.37275450545549,40.546
336937,50560,-105.07661046480303,40.004
340786,51200,-104.19900077986003,35.093
344615,51840,-102.7540233164519,36.247
349201,52480,-104.59003679012442,40.975
353793,53120,-104.07104523558598,42.128
358793,53760,-105.59129822121754,42.22
363107,54400,-104.55024650547861,39.681
367686,55040,-104.2259239371941,40.791
371041,55680,-104.14255005395759,33.293
375042,56320,-104.90252587556822,36.591
378874,56960,-104.80347248719272,35.129
383504,57600,-102.94564102272477,41.76
388504,58240,-104.18007919960341,43.845
390796,58880,-103.95548883271006,25.697
395047,59520,-106.7394589857859,37.727
