steps,episode,reward,time
5000,640,-6.537096683722669,280.337
10000,1280,-6.698211241596232,280.13
15000,1920,-6.312115368043525,280.71
20000,2560,-6.381529781602085,281.145
25000,3200,-7.039635848375623,280.908
30000,3840,-6.845499316987196,281.607
35000,4480,-7.196798552081312,281.369
40000,5120,-6.7439387965423645,281.249
45000,5760,-6.942624394124351,281.17
50000,6400,-6.72839801812885,281.632
55000,7040,-7.004857323748114,281.162
60000,7680,-6.7759726204544295,281.304
65000,8320,-6.195235564670564,282.04
70000,8960,-6.535201880023207,281.354
75000,9600,-6.294009010694603,279.846
80000,10240,-6.491080664130033,280.518
85000,10880,-6.02298354688419,280.777
90000,11520,-6.8638470379742795,280.644
95000,12160,-6.578766393808436,280.384
100000,12800,-6.640383457874445,280.526
105000,13440,-6.115417173418199,280.405
110000,14080,-5.808416314536415,280.79
115000,14720,-6.368872319846813,280.719
120000,15360,-7.004490810784489,280.236
125000,16000,-6.040913944323759,280.895
130000,16640,-6.292753967322175,281.119
135000,17280,-6.772736183600559,280.676
140000,17920,-7.1421126458821105,281.145
145000,18560,-6.568489494870033,280.358
150000,19200,-6.402015707104672,280.703
155000,19840,-7.381386817902725,281.15
160000,20480,-7.157475572881881,280.97
165000,21120,-6.544617850691959,280.68
170000,21760,-6.591657731204171,280.967
175000,22400,-6.6721646886665695,280.732
180000,23040,-6.929502388503788,280.613
185000,23680,-6.679877630887177,281.247
190000,24320,-6.567272873739254,280.734
195000,24960,-6.995779463942154,281.198
200000,25600,-6.522961654578786,281.073
205000,26240,-6.354282772198024,280.945
210000,26880,-6.282556409541191,280.794
215000,27520,-6.539847194329721,280.788
220000,28160,-6.5895914431035125,281.452
225000,28800,-6.886970190079198,281.344
230000,29440,-6.868628543974728,281.06
235000,30080,-6.86220446805159,280.967
240000,30720,-6.876299711116978,281.078
245000,31360,-6.8120730508222405,280.605
250000,32000,-6.9051593616224,281.038
255000,32640,-6.359396514620633,281.22
260000,33280,-5.978709897034014,281.366
265000,33920,-6.26745772563763,281.114
270000,34560,-6.706299070453376,281.669
275000,35200,-7.185773205632678,281.376
280000,35840,-5.840607185171978,281.416
285000,36480,-6.463072877828727,281.062
290000,37120,-7.401279924895431,281.379
295000,37760,-6.542628462019023,281.108
300000,38400,-6.436100100485727,281.858
305000,39040,-6.968780875952087,281.163
310000,39680,-6.282229408725614,281.063
315000,40320,-5.881659260224166,281.641
320000,40960,-5.438418453821479,281.192
325000,41600,-7.117249578189686,281.06
330000,42240,-6.585741799781692,281.317
335000,42880,-7.2576672257118675,281.294
340000,43520,-6.595444866828748,281.262
345000,44160,-6.712745963669169,281.474
350000,44800,-6.319608771997956,281.046
355000,45440,-7.225965881153053,280.924
360000,46080,-7.122490103722119,281.176
365000,46720,-5.963386937964379,281.476
370000,47360,-6.471393957038856,281.69
375000,48000,-7.165443731470984,281.378
380000,48640,-6.472894446304499,281.406
385000,49280,-6.827082145747575,281.572
390000,49920,-6.110262830015573,281.558
395000,50560,-6.734042568619533,281.16
400000,51200,-6.55364801537817,281.392
405000,51840,-6.296179150055545,281.916
410000,52480,-6.6405369772242695,282.033
415000,53120,-7.327526955887389,281.577
420000,53760,-6.2381227736075555,281.44
425000,54400,-6.743497428663896,281.09
430000,55040,-7.189121079008172,281.46
435000,55680,-6.443983689842495,281.324
440000,56320,-6.66417644721844,281.409
445000,56960,-7.3192330097479585,281.466
450000,57600,-7.182800875233896,281.349
455000,58240,-6.689563722564043,280.985
460000,58880,-7.1935309014136255,281.784
465000,59520,-6.550588866599808,281.379
