episode,return_mean
88,-25.1777
160,-28.6863
248,-29.7288
360,-31.4219
472,-33.8261
560,-34.106
640,-34.2108
704,-33.8761
760,-32.906
824,-31.7273
896,-31.263
968,-31.5507
1056,-32.2599
1144,-32.5582
1216,-32.518
1296,-32.9122
1376,-32.4087
1448,-32.1438
1512,-32.3895
1584,-33.1409
1672,-33.8816
1736,-33.679
1832,-34.2277
1896,-33.4039
1968,-32.6161
2064,-32.0584
2160,-32.8673
2232,-31.8538
2312,-32.3077
2392,-32.4664
2472,-32.1766
2552,-31.6578
2648,-32.5418
2712,-32.4857
2816,-33.2993
2896,-34.1125
3000,-34.5657
3072,-33.772
3168,-34.0207
3224,-32.066
3264,-29.8778
3320,-28.6103
3384,-28.9456
3456,-28.4047
3544,-30.2695
3624,-31.4178
3720,-33.3002
3832,-33.7991
3928,-34.5128
4000,-33.9397
4104,-34.4023
4200,-33.8783
4264,-32.9285
4344,-32.7378
4416,-32.4792
4488,-32.0827
4552,-31.5029
4616,-32.0294
4704,-31.7265
4792,-32.517
4888,-33.2502
4976,-33.5318
5056,-33.0851
5112,-32.4171
5192,-31.918
5272,-30.8695
5352,-30.8359
5440,-31.1366
5536,-32.4336
5592,-32.0143
5656,-32.8422
5744,-33.2545
5816,-33.1223
5896,-32.5949
5960,-32.7221
6040,-32.6286
6120,-31.9671
6176,-31.1831
6248,-31.3562
6312,-31.5389
6392,-31.5757
6464,-31.8063
6544,-33.0882
6616,-32.9942
6712,-33.247
6800,-33.1764
6872,-33.8778
6936,-33.9461
6992,-33.5902
7072,-33.5235
7120,-32.3291
7168,-30.7391
7224,-29.63
7296,-30.178
7368,-29.9377
7456,-31.6329
7512,-32.0012
7584,-32.5429
7656,-32.1125
7720,-32.2875
7792,-31.5274
7856,-32.3021
7920,-32.3933
7984,-32.5026
8040,-31.8093
8104,-31.1855
8152,-29.5706
8216,-29.8732
8280,-30.2029
8352,-31.2791
8424,-31.8792
8488,-33.311
8568,-33.5065
8624,-33.6066
8680,-32.8296
8760,-33.3154
8840,-33.7475
8904,-33.5681
8960,-32.8845
9016,-33.6042
9080,-33.0766
9152,-33.2647
9208,-32.2996
9264,-32.5461
9320,-32.0618
9376,-31.8643
9424,-30.5992
9480,-31.0939
9536,-30.6425
9584,-29.829
9648,-30.7036
9712,-31.2213
9768,-31.6237
9832,-32.5732
9872,-32.9166
9928,-32.673
9984,-32.1568
10032,-31.4864
10096,-31.7621
10184,-32.9189
10240,-32.3206
10296,-33.0694
10360,-33.5521
10408,-32.58
10456,-30.8817
10504,-30.2418
10560,-29.7092
10608,-28.8142
10664,-29.1252
10712,-29.6473
10768,-29.7294
10808,-28.4918
10856,-28.2049
10904,-28.2402
10968,-28.9304
11024,-29.0391
11088,-30.5746
11136,-30.1797
11192,-30.3641
11240,-29.1028
11312,-29.2575
11368,-29.8201
11432,-30.9234
11488,-30.243
11544,-30.9777
11600,-31.3348
11656,-30.3937
11696,-30.2658
11744,-30.5622
11792,-30.5552
11840,-31.3461
11896,-31.2104
11944,-30.6661
11984,-29.4886
12048,-29.5594
12096,-27.9298
12144,-27.356
12192,-26.9852
12232,-27.0815
12288,-26.8971
12336,-26.2449
12392,-26.7318
12440,-27.1649
12488,-28.087
12552,-28.4941
12600,-28.98
12656,-28.7945
12704,-29.1648
12768,-29.1822
12832,-29.2762
12888,-29.724
12944,-30.3967
13000,-30.7706
13040,-29.9873
13080,-28.6272
13136,-28.696
13184,-27.9874
13232,-27.2098
13272,-26.9661
13320,-26.6626
13376,-26.8202
13424,-26.6153
13472,-26.2698
13528,-27.7287
13584,-29.0155
13640,-29.2781
13680,-28.772
13728,-29.0803
13776,-27.7886
13824,-27.6168
13880,-27.7788
13936,-28.44
13992,-29.4725
14040,-30.3021
14088,-30.5269
14136,-29.6389
14184,-29.5863
14232,-28.8222
14280,-29.6598
14336,-29.6242
14376,-29.8321
14424,-30.1265
14472,-30.2533
14520,-29.9135
14568,-29.8474
14616,-29.9998
