episode,return_mean
24,4.2971
48,6.7978
72,7.8678
96,7.5201
120,7.9077
144,8.2862
168,7.0041
192,5.7871
216,5.9322
240,5.8644
264,5.3541
288,5.4738
312,5.3865
336,5.2348
360,5.7126
384,5.8001
408,5.7309
432,5.7742
456,5.5526
480,5.1452
504,5.2414
528,5.2018
552,5.8741
576,5.8963
600,6.2077
624,6.8948
648,7.3274
672,7.702
696,8.3175
720,9.192
744,8.8427
768,9.0822
792,8.2784
816,7.7278
840,6.585
864,6.1508
888,5.4458
912,5.4344
936,5.6139
960,5.6741
984,5.5028
1008,5.401
1032,5.1895
1056,5.0158
1080,5.2911
1104,5.2509
1128,5.5277
1152,5.7341
1176,5.7591
1200,5.6358
1224,5.6869
1248,5.3663
1272,4.9832
1296,4.9877
1320,4.6159
1344,4.8277
1368,5.1805
1392,5.1607
1416,4.8179
1440,4.8962
1464,4.9987
1488,4.6119
1512,4.9164
1536,5.1551
1560,5.1143
1584,4.8283
1608,4.9836
1632,4.9016
1656,5.2019
1680,5.1895
1704,5.1233
1728,4.9214
1752,5.2298
1776,4.9608
1800,5.0177
1824,5.5259
1848,5.6582
1872,5.272
1896,5.5184
1920,5.3971
1944,4.9685
1968,5.1042
1992,5.216
2016,5.0639
2040,5.237
2064,5.0843
2088,5.0481
2112,4.7731
2136,4.4873
2160,4.1677
2184,4.431
2208,4.3911
2232,4.4105
2256,4.5148
2280,4.6678
2304,4.399
2328,4.2714
2352,4.242
2376,4.0095
2400,4.175
2424,4.2781
2448,4.3068
2472,4.4179
2496,4.6753
2520,4.6362
2544,4.7867
2568,4.7854
2592,4.6614
2616,4.5134
2640,4.441
2664,4.0869
2688,4.0797
2712,4.1678
2736,4.162
2760,4.2913
2784,4.6979
2808,4.5341
2832,4.6087
2856,4.7164
2880,4.9788
2904,5.2174
2928,5.8554
2952,5.9419
2976,6.3699
3000,6.4509
3024,6.2541
3048,6.3407
3072,6.7556
3096,6.6637
3120,6.5288
3144,6.6154
3168,6.6449
3192,7.0157
3216,7.0651
3240,7.3082
3264,7.4178
3288,7.0534
3312,6.4842
3336,6.5145
3360,6.8699
3384,6.7571
3408,7.3641
3432,7.5712
3456,7.644
3480,7.5293
3504,7.6041
3528,7.4107
3552,7.6938
3576,7.3965
3600,7.1525
3624,7.2811
3648,7.0127
3672,6.2662
3696,5.8987
3720,5.2045
3744,4.4757
3768,3.877
3792,3.7984
3816,3.9932
3840,3.9869
3864,3.9774
3888,4.4876
3912,4.5928
3936,4.8757
3960,5.0812
3984,5.8894
4008,5.8772
4032,6.0093
4056,5.8956
4080,6.0952
4104,5.9834
4128,5.9899
