episode,return_mean
24,-0.335
48,0.2818
72,0.831
96,0.8435
120,1.0902
144,1.1818
168,0.9932
192,0.6127
216,0.3547
240,0.4063
264,0.4637
288,0.5543
312,0.5263
336,0.7222
360,0.7349
384,0.5348
408,0.4327
432,0.3917
456,0.2681
480,0.0193
504,0.2045
528,0.0308
552,0.0615
576,0.203
600,0.275
624,0.1724
648,0.2745
672,0.227
696,0.1607
720,0.0522
744,0.086
768,0.1085
792,0.0961
816,0.0187
840,0.1722
864,0.195
888,0.185
912,0.2683
936,0.4256
960,0.3393
984,0.2758
1008,0.3709
1032,0.3348
1056,0.2494
1080,0.3751
1104,0.5687
1128,0.3853
1152,0.299
1176,0.3431
1200,0.1721
1224,0.0297
1248,0.2356
1272,0.183
1296,0.0905
1320,0.1847
1344,0.42
1368,0.1718
1392,0.318
1416,0.3919
1440,0.2818
1464,-0.0259
1488,0.1055
1512,0.0758
1536,0.0377
1560,0.0666
1584,0.1193
1608,0.0724
1632,0.1392
1656,0.338
1680,0.5132
1704,0.5061
1728,0.5113
1752,0.408
1776,0.0918
1800,0.1118
1824,0.1357
1848,0.0829
1872,0.1034
1896,0.173
1920,0.1937
1944,0.0776
1968,0.151
1992,0.2709
2016,0.3671
2040,0.4139
2064,0.4613
2088,0.5844
2112,0.5754
2136,0.4098
2160,0.4315
2184,0.5484
2208,0.516
2232,0.4632
2256,0.5188
2280,0.3073
2304,0.3887
2328,0.3768
2352,0.4126
2376,0.5255
2400,0.573
2424,0.437
2448,0.349
2472,0.1896
2496,0.3201
2520,0.2629
2544,0.3013
2568,0.38
2592,0.6474
2616,0.4616
2640,0.6352
2664,0.6653
2688,0.6605
2712,0.6577
2736,0.6184
2760,0.641
2784,0.6125
2808,0.6083
2832,0.7328
2856,0.6877
2880,0.5358
2904,0.5651
2928,0.5624
2952,0.3134
2976,0.3627
3000,0.4873
3024,0.3176
3048,0.3321
3072,0.4035
3096,0.6512
3120,0.5011
3144,0.7205
3168,0.6691
3192,0.5349
3216,0.317
3240,0.7715
3264,0.6351
3288,0.6491
3312,0.7397
3336,0.9236
3360,0.5182
3384,0.4637
3408,0.6423
3432,0.549
3456,0.244
3480,0.177
3504,0.5442
3528,0.3605
3552,0.2461
3576,0.4734
3600,0.4459
3624,0.0842
3648,-0.0303
3672,0.1719
3696,0.0047
3720,0.0721
3744,0.2038
3768,0.2399
3792,0.4034
3816,0.4966
3840,0.4693
3864,0.4566
3888,0.5505
3912,0.3631
3936,0.5246
3960,0.4721
3984,0.5646
4008,0.5355
4032,0.4625
4056,0.5282
4080,0.6537
4104,0.4191
4128,0.7918
4152,0.894
4176,0.7436
4200,0.7441
4224,0.8861
4248,0.6309
4272,0.4793
4296,0.309
4320,0.3251
4344,0.3374
4368,0.3802
4392,0.737
4416,1.0462
4440,0.9628
4464,0.8441
4488,0.5934
4512,0.3101
4536,0.1124
4560,0.0762
4584,0.1401
4608,0.2244
4632,0.2566
4656,0.4369
4680,0.5013
4704,0.5227
4728,0.8564
4752,0.884
4776,0.8217
4800,0.8837
4824,0.8585
4848,0.41
4872,0.461
4896,0.244
4920,0.2801
4944,0.3348
4968,0.5696
4992,0.5133
5016,0.5511
5040,0.3827
5064,0.3579
5088,0.2272
5112,0.1376
5136,0.1768
5160,0.2219
5184,0.3358
5208,0.4032
5232,0.3515
5256,0.4479
5280,0.4207
5304,0.201
5328,0.2205
5352,0.2329
5376,0.1141
5400,0.02
5424,0.1958
5448,0.1428
5472,0.1428
5496,0.0409
5520,0.1718
5544,0.1449
5568,0.0972
5592,0.1623
5616,0.2668
5640,0.3176
5664,0.1249
5688,0.1721
5712,0.2716
5736,0.2035
5760,0.1017
5784,0.1763
5808,0.0851
5832,-0.0478
5856,0.1678
5880,0.1464
5904,0.1701
5928,0.3255
5952,0.3426
5976,0.1284
6000,0.1886
6024,0.2357
6048,0.2576
6072,0.24
6096,0.2264
6120,0.2153
6144,0.2013
6168,0.3157
6192,0.3559
6216,0.3985
6240,0.2967
6264,0.3043
6288,0.0131
6312,-0.0504
6336,-0.0259
6360,0.2403
6384,0.3451
6408,0.4899
6432,0.5916
6456,0.4948
6480,0.4978
6504,0.2784
6528,0.1169
6552,-0.0213
6576,0.1547
6600,0.1039
6624,0.2159
6648,0.2832
6672,0.3439
6696,0.2202
6720,0.0387
6744,-0.0265
6768,0.1447
6792,0.2196
6816,0.1857
6840,0.5715
6864,0.5101
6888,0.4108
6912,0.4185
6936,0.4403
6960,0.1164
6984,0.3601
7008,0.2907
7032,0.1658
7056,0.269
7080,0.3234
7104,0.1044
7128,0.158
7152,0.2276
7176,0.1067
7200,0.0476
7224,0.0881
7248,0.006
7272,-0.0131
7296,0.0514
7320,-0.0278
7344,-0.1156
7368,-0.1764
7392,-0.2157
7416,-0.1666
7440,-0.117
7464,0.0979
7488,0.2148
7512,0.3692
7536,0.3108
7560,0.4184
7584,0.23
7608,0.2477
7632,0.1621
7656,0.1715
7680,0.0104
7704,0.0546
7728,0.049
7752,0.0568
7776,0.0006
7800,0.1528
7824,0.1484
7848,-0.0006
7872,0.024
7896,0.0326
7920,0.0448
7944,-0.128
7968,-0.0092
7992,-0.1162
8016,-0.0683
8040,0.0918
8064,0.1954
8088,0.0986
8112,0.161
8136,0.1105
8160,-0.0907
8184,-0.0472
8208,0.0092
8232,0.0929
8256,0.08
8280,0.0464
8304,0.1582
8328,0.1409
8352,0.157
8376,0.2869
8400,0.3039
8424,0.183
8448,0.1992
8472,0.1855
8496,0.1199
8520,0.0414
8544,0.0414
8568,0.1157
8592,-0.0035
8616,-0.1351
8640,-0.126
8664,-0.1392
8688,-0.2602
8712,-0.3254
